Tytul;Moja_ocena;Srednia_ocena;Premiera;Rok;Liczba_glosow;Gatunek;Produkcja;Dlugosc;Rezyser
Green Book;9;8.2;11 wrzesieÒ 2018;2018;193 782;Dramat;USA;2 godz. 10 min.;Peter Farrelly
Captain Fantastic;8;7.6;23 styczeÒ 2016;2016;75 956;Dramat;USA;1 godz. 58 min.;Matt Ross
Czarne bractwo. BlacKkKlansman;5;6.9;14 maj 2018;2018;46 177;Biograficzny;USA;2 godz. 8 min.;Spike Lee
Bohemian Rhapsody;7;8.0;23 paüdziernik 2018;2018;187 620;Biograficzny;USA;2 godz. 14 min.;Bryan Singer
Impostor;5;5.0;25 styczeÒ 2019;2019;7 699;Horror;Belgia;1 godz. 30 min.;Lee Cronin
Efekt motyla;7;7.8;22 styczeÒ 2004;2004;498 165;Thriller;Kanada;1 godz. 53 min.;J. Mackye Gruber
PotwÛr;3;4.0;10 kwiecieÒ 2006;2006;1 211;Horror;USA;1 godz. 34 min.;Ryan Schifrin
Z≥e wychowanie Cameron Post;7;6.4;22 styczeÒ 2018;2018;8 379;Dramat;USA;1 godz. 30 min.;Desiree Akhavan
Wyznania gejszy;NaN;7.7;29 listopad 2005;2005;176 181;Melodramat;USA;2 godz. 25 min.;Rob Marshall
Symetria;8;7.8;17 wrzesieÒ 2003;2003;242 324;Dramat;Polska;1 godz. 39 min.;Konrad Niewolski
Grand Budapest Hotel;9;7.8;6 luty 2014;2014;249 295;Dramat;Niemcy;1 godz. 40 min.;Wes Anderson
Zimna wojna;8;7.6;10 maj 2018;2018;119 065;Melodramat;Francja;1 godz. 28 min.;Pawe≥ Pawlikowski
Zanim siÍ pojawi≥eú;8;7.5;23 maj 2016;2016;169 431;Melodramat;USA;1 godz. 50 min.;Thea Sharrock
Lady Bird;8;6.7;1 wrzesieÒ 2017;2017;85 701;Dramat;USA;1 godz. 33 min.;Greta Gerwig
Narodziny gwiazdy;7;7.4;31 sierpieÒ 2018;2018;174 402;Dramat;USA;2 godz. 15 min.;Bradley Cooper
UpiÛr w operze;6;7.6;9 grudzieÒ 2004;2004;76 612;Melodramat;USA;2 godz. 23 min.;Joel Schumacher
Kwiat pustyni;NaN;7.7;5 wrzesieÒ 2009;2009;129 560;Biograficzny;Austria;2 godz.;Sherry Hormann
Yoga Hosers;5;4.0;24 styczeÒ 2016;2016;767;Czarna komedia;USA;1 godz. 28 min.;Kevin Smith
Marzyciel;4;7.6;4 wrzesieÒ 2004;2004;250 360;Dramat;USA;1 godz. 46 min.;Marc Forster
Poznaj naszπ rodzinkÍ;5;6.3;22 grudzieÒ 2010;2010;60 370;Komedia;USA;1 godz. 38 min.;Paul Weitz
Guru mi≥oúci;5;4.8;20 czerwiec 2008;2008;9 178;Komedia;Niemcy;1 godz. 27 min.;Marco Schnabel
Podziemny krπg;NaN;8.3;10 wrzesieÒ 1999;1999;591 960;Thriller;Niemcy;2 godz. 19 min.;David Fincher
Uciekajπce kurczaki;8;6.2;21 czerwiec 2000;2000;55 092;Animacja;Wielka Brytania;1 godz. 24 min.;Nick Park
Czas Apokalipsy;8;8.2;10 maj 1979;1979;175 720;Dramat;USA;2 godz. 27 min.;Francis Ford Coppola
Odwaøna;7;7.0;6 wrzesieÒ 2007;2007;24 765;Dramat;Australia;1 godz. 59 min.;Neil Jordan
28 dni pÛüniej;6;6.9;1 listopad 2002;2002;74 236;Horror;Wielka Brytania;1 godz. 53 min.;Danny Boyle
W stronÍ s≥oÒca;7;6.7;23 marzec 2007;2007;39 338;Sci-Fi;USA;1 godz. 47 min.;Danny Boyle
Zapowiedü;5;6.6;9 marzec 2009;2009;135 221;Thriller;Australia;2 godz. 1 min.;Alex Proyas
Hotel Transylwania;6;7.2;8 wrzesieÒ 2012;2012;119 505;Animacja;USA;1 godz. 31 min.;Genndy Tartakovsky
Czarne lustro: Bandersnatch;6;6.9;28 grudzieÒ 2018;2018;67 858;Thriller;USA;1 godz. 30 min.;David Slade
Legenda telewizji 2: Kontynuacja;7;6.0;24 listopad 2013;2013;9 959;Komedia;USA;1 godz. 59 min.;Adam McKay
Ocean's 8;6;6.4;5 czerwiec 2018;2018;67 419;Komedia kryminalna;USA;1 godz. 50 min.;Gary Ross
Vaiana: Skarb oceanu;7;7.5;16 listopad 2016;2016;102 037;Animacja;USA;1 godz. 47 min.;Ron Clements
Tully;6;6.8;23 styczeÒ 2018;2018;32 573;Dramat;USA;1 godz. 36 min.;Jason Reitman
Dusza towarzystwa;7;5.6;10 maj 2018;2018;10 378;Komedia;USA;1 godz. 45 min.;Ben Falcone
Jutro bÍdziemy szczÍúliwi;6;7.7;7 grudzieÒ 2016;2016;86 668;Dramat;Francja;1 godz. 58 min.;Hugo GÈlin
Agentka;5;7.0;15 marzec 2015;2015;109 235;Komedia;USA;2 godz.;Paul Feig
MiÍdzy wierszami;8;7.3;27 styczeÒ 2012;2012;53 342;Dramat;USA;1 godz. 36 min.;Brian Klugman
AmerykaÒska sielanka;7;6.1;9 wrzesieÒ 2016;2016;15 319;Dramat;USA;1 godz. 48 min.;Ewan McGregor
W chmurach;6;6.9;5 wrzesieÒ 2009;2009;86 977;Dramat;USA;1 godz. 49 min.;Jason Reitman
Rozpruci na úmierÊ;5;5.4;17 sierpieÒ 2018;2018;4 214;Komedia kryminalna;USA;1 godz. 31 min.;Brian Henson
Szpieg, ktÛry mnie rzuci≥;6;6.0;25 lipiec 2018;2018;17 464;Komedia;USA;1 godz. 56 min.;Susanna Fogel
Shrek Trzeci;8;6.6;6 maj 2007;2007;203 092;Animacja;USA;1 godz. 33 min.;Chris Miller
Niania i wielkie bum;7;6.4;24 marzec 2010;2010;24 368;Familijny;Francja;1 godz. 49 min.;Susanna White
Elf;6;5.7;9 paüdziernik 2003;2003;16 866;Familijny;USA;1 godz. 37 min.;Jon Favreau
Nie otwieraj oczu;5;6.4;12 listopad 2018;2018;107 305;Thriller;USA;2 godz. 4 min.;Susanne Bier
Listy do M. 3;7;6.2;6 listopad 2017;2017;56 025;Komedia rom.;Polska;1 godz. 50 min.;Tomasz Konecki
Alfa;6;6.2;15 sierpieÒ 2018;2018;13 788;Przygodowy;USA;1 godz. 36 min.;Albert Hughes
303. Bitwa o AngliÍ;6;5.6;9 sierpieÒ 2018;2018;22 070;Dramat;Polska;1 godz. 45 min.;David Blair
Predator;3;5.0;7 wrzesieÒ 2018;2018;26 147;Akcja;Kanada;1 godz. 47 min.;Shane Black
Wa≥Ísa. Cz≥owiek z nadziei;5;6.3;5 wrzesieÒ 2013;2013;80 041;Biograficzny;Polska;2 godz. 7 min.;Andrzej Wajda
Johnny English;5;6.5;6 kwiecieÒ 2003;2003;84 215;Komedia;Francja;1 godz. 28 min.;Peter Howitt
Woøπc paniπ Daisy;5;7.2;13 grudzieÒ 1989;1989;45 961;Dramat;USA;1 godz. 39 min.;Bruce Beresford
Faceci w czerni II;5;6.8;3 lipiec 2002;2002;131 846;Komedia;USA;1 godz. 28 min.;Barry Sonnenfeld
Kosmiczny mecz;6;6.9;10 listopad 1996;1996;139 765;Komedia;USA;1 godz. 28 min.;Joe Pytka
Taxi 3;3;6.7;29 styczeÒ 2003;2003;83 979;Komedia;Francja;1 godz. 24 min.;GÈrard Krawczyk
Taxi 2;6;7.0;25 marzec 2000;2000;93 000;Komedia;Francja;1 godz. 28 min.;GÈrard Krawczyk
Faceci w czerni;8;7.1;2 lipiec 1997;1997;278 195;Komedia;USA;1 godz. 38 min.;Barry Sonnenfeld
ToøsamoúÊ;7;7.2;16 luty 2011;2011;119 006;Thriller;Francja;1 godz. 53 min.;Jaume Collet-Serra
Eskorta;8;6.2;15 sierpieÒ 2018;2018;10 116;Akcja;USA;1 godz. 34 min.;Peter Berg
Constantine;4;7.4;7 luty 2005;2005;232 849;Fantasy;Niemcy;2 godz. 1 min.;Francis Lawrence
Sicario 2: Soldado;6;7.0;27 czerwiec 2018;2018;31 446;Thriller;USA;2 godz. 2 min.;Stefano Sollima
Karol, ktÛry zosta≥ úwiÍtym;8;3.1;21 marzec 2014;2014;2 062;Animacja;Polska;1 godz. 15 min.;Grzegorz Sadurski
Rodziny siÍ nie wybiera;2;6.2;13 styczeÒ 2018;2018;6 163;Komedia;Francja;1 godz. 47 min.;Dany Boon
Jeszcze dalej niø PÛ≥noc;7;7.5;27 luty 2008;2008;54 331;Komedia;Francja;1 godz. 46 min.;Dany Boon
Godziny szczytu 3;8;7.1;30 lipiec 2007;2007;45 851;Akcja;Niemcy;1 godz. 31 min.;Brett Ratner
Godziny szczytu 2;7;7.2;26 lipiec 2001;2001;53 100;Akcja;Chiny;1 godz. 30 min.;Brett Ratner
Kronika úwiπteczna;8;6.7;22 listopad 2018;2018;13 197;Familijny;USA;1 godz. 44 min.;Clay Kaytis
Rok pierwszy;8;5.5;18 czerwiec 2009;2009;33 661;Komedia;USA;1 godz. 37 min.;Harold Ramis
Kung Fu Panda 2;5;7.0;22 maj 2011;2011;81 353;Animacja;USA;1 godz. 30 min.;Jennifer Yuh Nelson
Garfield 2;6;6.3;15 czerwiec 2006;2006;33 859;Familijny;USA;1 godz. 18 min.;Tim Hill
Garfield;7;6.4;6 czerwiec 2004;2004;70 317;Familijny;USA;1 godz. 20 min.;Peter Hewitt
Piorun;6;6.7;17 listopad 2008;2008;67 079;Animacja;USA;1 godz. 36 min.;Chris Williams
Legendy sowiego krÛlestwa: Straønicy Ga'Hoole;7;7.2;23 wrzesieÒ 2010;2010;32 776;Animacja;Australia;1 godz. 37 min.;Zack Snyder
Komedia romantyczna;7;5.1;17 luty 2006;2006;29 705;Komedia;Austria;1 godz. 23 min.;Aaron Seltzer
Venom;6;6.8;1 paüdziernik 2018;2018;120 534;Akcja;Chiny;1 godz. 52 min.;Ruben Fleischer
Piπtek 13-go;6;5.5;9 luty 2009;2009;39 377;Horror;USA;1 godz. 37 min.;Marcus Nispel
Pinokio;6;5.4;11 paüdziernik 2002;2002;4 816;Familijny;Francja;1 godz. 48 min.;Roberto Benigni
Wielka SzÛstka;7;7.7;23 paüdziernik 2014;2014;155 187;Animacja;USA;1 godz. 42 min.;Don Hall
Daybreakers - åwit;4;6.1;11 wrzesieÒ 2009;2009;39 142;Horror;Australia;1 godz. 38 min.;Michael Spierig
ZwierzogrÛd;8;7.9;10 luty 2016;2016;245 790;Animacja;USA;1 godz. 48 min.;Byron Howard
Upadek;7;7.7;26 luty 1993;1993;92 683;Thriller;Francja;1 godz. 52 min.;Joel Schumacher
Patriota;8;7.5;27 czerwiec 2000;2000;140 750;Dramat historyczny;Niemcy;2 godz. 45 min.;Roland Emmerich
Prawo zemsty;7;7.9;23 wrzesieÒ 2009;2009;208 583;Thriller;USA;1 godz. 49 min.;F. Gary Gray
Dziennik zakrapiany rumem;7;6.2;13 paüdziernik 2011;2011;70 313;Dramat;USA;2 godz.;Bruce Robinson
Plac Zbawiciela;8;7.6;29 lipiec 2006;2006;82 118;Dramat spo≥eczny;Polska;1 godz. 45 min.;Krzysztof Krauze
Melancholia;7;6.9;18 maj 2011;2011;78 618;Dramat;Dania;2 godz. 10 min.;Lars von Trier
Opiekunka;7;5.4;13 paüdziernik 2017;2017;27 896;Horror;USA;1 godz. 25 min.;McG
Iniemamocni 2;8;7.5;5 czerwiec 2018;2018;67 159;Animacja;USA;1 godz. 58 min.;Brad Bird
Tamte dni, tamte noce;5;7.7;22 styczeÒ 2017;2017;104 029;Melodramat;Brazylia;2 godz. 12 min.;Luca Guadagnino
Mowgli: Legenda døungli;6;6.3;29 listopad 2018;2018;21 267;Przygodowy;USA;1 godz. 44 min.;Andy Serkis
Zakonnica;7;5.2;5 wrzesieÒ 2018;2018;58 980;Horror;USA;1 godz. 36 min.;Corin Hardy
Bez litoúci;7;6.5;1 maj 2010;2010;48 782;Thriller;USA;1 godz. 48 min.;Steven R. Monroe
Pojmani;6;6.1;16 maj 2014;2014;13 854;Thriller;Kanada;1 godz. 52 min.;Atom Egoyan
Ghost Story;9;6.6;22 styczeÒ 2017;2017;17 165;Fantasy;USA;1 godz. 27 min.;David Lowery
Ostatnia mi≥oúÊ na Ziemi;8;7.1;24 styczeÒ 2011;2011;39 874;Melodramat;Dania;1 godz. 28 min.;David Mackenzie
Czas prÛby;7;6.5;21 styczeÒ 2016;2016;19 713;Thriller;USA;1 godz. 57 min.;Craig Gillespie
åmierÊ nadejdzie dziú;5;6.3;7 paüdziernik 2017;2017;44 215;Horror;USA;1 godz. 36 min.;Christopher Landon
Amityville;6;6.7;7 kwiecieÒ 2005;2005;82 076;Horror;USA;1 godz. 30 min.;Andrew Douglas
Tau;8;5.8;29 czerwiec 2018;2018;10 934;Thriller;USA;1 godz. 37 min.;Federico D'Alessandro
Tunel;5;6.4;10 sierpieÒ 2016;2016;2 958;Thriller;Korea Po≥udniowa;2 godz. 6 min.;Seong-hun Kim
Nostalgia anio≥a;7;7.1;24 listopad 2009;2009;119 165;Dramat;Nowa Zelandia;2 godz. 15 min.;Peter Jackson
Ludzkie dzieci;6;6.9;3 wrzesieÒ 2006;2006;77 575;Dramat;USA;1 godz. 49 min.;Alfonso CuarÛn
Ballada o Busterze Scruggsie;6;7.0;31 sierpieÒ 2018;2018;31 351;Nowele filmowe;USA;2 godz. 12 min.;Ethan Coen
Cam;7;5.1;18 lipiec 2018;2018;11 670;Thriller;USA;1 godz. 34 min.;Daniel Goldhaber
Droga do zapomnienia;4;7.2;6 wrzesieÒ 2013;2013;31 139;Biograficzny;Australia;1 godz. 56 min.;Jonathan Teplitzky
Big Short;6;7.4;12 listopad 2015;2015;130 542;Dramat;USA;2 godz. 10 min.;Adam McKay
Scooby-Doo;6;5.7;8 czerwiec 2002;2002;37 516;Familijny;Australia;1 godz. 27 min.;Raja Gosnell
Ratatuj;5;7.3;22 czerwiec 2007;2007;270 207;Animacja;USA;1 godz. 51 min.;Brad Bird
Manchester by the Sea;7;7.6;23 styczeÒ 2016;2016;112 793;Dramat;USA;2 godz. 17 min.;Kenneth Lonergan
RV: Szalone wakacje na kÛ≥kach;4;6.3;28 kwiecieÒ 2006;2006;17 920;Familijny;Niemcy;1 godz. 38 min.;Barry Sonnenfeld
Sing;7;7.3;11 wrzesieÒ 2016;2016;79 796;Animacja;Japonia;1 godz. 50 min.;Garth Jennings
Okja;8;7.1;19 maj 2017;2017;38 771;Dramat;USA;2 godz.;Joon-ho Bong
KrÛl wyjÍty spod prawa;7;6.7;6 wrzesieÒ 2018;2018;18 011;Biograficzny;USA;2 godz. 1 min.;David Mackenzie
BÛg nie umar≥: åwiat≥o w ciemnoúci;5;5.9;30 marzec 2018;2018;1 763;Dramat;USA;1 godz. 45 min.;Michael Mason
Piπty wymiar;5;6.4;27 sierpieÒ 2009;2009;24 716;Thriller;Australia;1 godz. 39 min.;Christopher Smith
BaczyÒski;6;6.5;15 marzec 2013;2013;16 754;Biograficzny;Polska;1 godz. 10 min.;Kordian Piwowarski
Monty Python i åwiÍty Graal;5;8.0;14 marzec 1975;1975;162 594;Komedia;Wielka Brytania;1 godz. 31 min.;Terry Gilliam
Øywot Briana;6;7.9;17 sierpieÒ 1979;1979;175 993;Komedia;Wielka Brytania;1 godz. 34 min.;Terry Jones
Polisa na øycie;6;5.4;28 kwiecieÒ 2016;2016;1 358;Dramat;USA;1 godz. 34 min.;Peter Billingsley
Teksas - Pola úmierci;8;6.1;9 wrzesieÒ 2011;2011;8 020;Dramat;USA;1 godz. 45 min.;Ami Canaan Mann
Tajemnica Marrowbone;8;7.2;11 wrzesieÒ 2017;2017;14 123;Dramat;Hiszpania;1 godz. 50 min.;Sergio G. S·nchez
Coú za mnπ chodzi;3;5.6;17 maj 2014;2014;51 893;Horror;USA;1 godz. 40 min.;David Robert Mitchell
JÍk czarnego wÍøa;4;7.0;9 grudzieÒ 2006;2006;12 878;Dramat;USA;1 godz. 56 min.;Craig Brewer
22 lipiec;8;6.5;5 wrzesieÒ 2018;2018;16 916;Dramat;Islandia;2 godz. 23 min.;Paul Greengrass
Angel-A;4;7.4;21 grudzieÒ 2005;2005;18 864;Dramat;Francja;1 godz. 30 min.;Luc Besson
How It Ends;8;5.2;13 lipiec 2018;2018;18 249;Thriller;Kanada;1 godz. 53 min.;David M. Rosenthal
Tragedia "Posejdona";5;7.2;12 grudzieÒ 1972;1972;6 388;Katastroficzny;USA;1 godz. 54 min.;Ronald Neame
Zag≥ada;NaN;5.5;27 lipiec 2018;2018;13 750;Thriller;USA;1 godz. 35 min.;Ben Young
Dotyk przeznaczenia;4;7.0;18 grudzieÒ 2000;2000;20 204;Dramat;USA;1 godz. 51 min.;Sam Raimi
Wyleczeni;NaN;5.3;9 wrzesieÒ 2017;2017;2 315;Horror;Irlandia;1 godz. 35 min.;David Freyne
P≥oty;7;6.8;16 grudzieÒ 2016;2016;18 528;Dramat;Kanada;2 godz. 19 min.;Denzel Washington
Jurassic World: Upad≥e krÛlestwo;3;6.1;21 maj 2018;2018;64 995;Przygodowy;USA;2 godz. 8 min.;J.A. Bayona
Pierwsza noc oczyszczenia;7;5.2;4 lipiec 2018;2018;15 778;Thriller;USA;1 godz. 40 min.;Gerard McMurray
Dziedzictwo. Hereditary;3;6.5;21 styczeÒ 2018;2018;48 691;Dramat;USA;2 godz. 6 min.;Ari Aster
Straø wiejska 2;8;5.3;19 kwiecieÒ 2018;2018;2 190;Komedia kryminalna;USA;1 godz. 39 min.;Jay Chandrasekhar
Han Solo: Gwiezdne wojny - historie;5;6.7;10 maj 2018;2018;70 203;Przygodowy;USA;2 godz. 15 min.;Ron Howard
Fargo;6;7.6;8 marzec 1996;1996;102 657;Dramat;USA;1 godz. 38 min.;Ethan Coen
Ch≥opcy z ferajny;8;8.3;12 wrzesieÒ 1990;1990;293 280;Dramat;USA;2 godz. 26 min.;Martin Scorsese
W drodze;7;6.0;23 maj 2012;2012;21 596;Dramat;Brazylia;2 godz. 17 min.;Walter Salles
Poznaj moich Spartan;4;5.2;24 styczeÒ 2008;2008;72 687;Komedia;USA;1 godz. 24 min.;Jason Friedberg
Rain Man;8;8.0;12 grudzieÒ 1988;1988;160 974;Dramat;USA;2 godz. 13 min.;Barry Levinson
Rzeü;3;7.1;1 wrzesieÒ 2011;2011;116 961;Dramat;Francja;1 godz. 19 min.;Roman PolaÒski
Ghostland;7;6.5;3 luty 2018;2018;17 700;Horror;Francja;1 godz. 31 min.;Pascal Laugier
Borat: Podpatrzone w Ameryce, aby Kazachstan rÛs≥ w si≥Í, a ludzie øyli dostatniej;8;6.4;4 sierpieÒ 2006;2006;173 967;Komedia;USA;1 godz. 24 min.;Larry Charles
The Square;8;6.9;20 maj 2017;2017;28 817;Komedia;Dania;2 godz. 22 min.;Ruben ÷stlund
BÍkarty;5;5.5;21 grudzieÒ 2017;2017;8 627;Komedia;USA;1 godz. 53 min.;Lawrence Sher
Czarny ≥abÍdü;4;7.7;1 wrzesieÒ 2010;2010;349 867;Dramat;USA;1 godz. 48 min.;Darren Aronofsky
9. øycie Louisa Draxa;7;6.3;25 sierpieÒ 2016;2016;6 429;Thriller;Kanada;1 godz. 48 min.;Alexandre Aja
Pitch Perfect 3;6;6.4;20 grudzieÒ 2017;2017;20 095;Komedia;USA;1 godz. 33 min.;Trish Sie
Whiplash;5;8.1;16 styczeÒ 2014;2014;281 246;Dramat;USA;1 godz. 45 min.;Damien Chazelle
Wilko≥ak;6;6.0;27 styczeÒ 2010;2010;53 511;Horror;USA;1 godz. 42 min.;Joe Johnston
Stolik 19;9;5.8;3 marzec 2017;2017;6 443;Dramat;USA;1 godz. 27 min.;Jeffrey Blitz
Morderstwo w Orient Expressie;7;6.5;3 listopad 2017;2017;100 981;Krymina≥;Francja;1 godz. 54 min.;Kenneth Branagh
Gdzie jest Dory;7;7.1;8 czerwiec 2016;2016;72 814;Animacja;USA;1 godz. 37 min.;Andrew Stanton
RRRrrrr!!!;5;6.3;28 styczeÒ 2004;2004;100 392;Komedia;Francja;1 godz. 34 min.;Alain Chabat
Wszystkie pieniπdze úwiata;7;6.5;18 grudzieÒ 2017;2017;29 030;Krymina≥;USA;2 godz. 12 min.;Ridley Scott
Ten niezrÍczny moment;4;6.2;27 styczeÒ 2014;2014;59 223;Komedia rom.;USA;1 godz. 34 min.;Tom Gormican
O dwÛch takich, co poszli w miasto;7;7.1;20 maj 2004;2004;73 851;Komedia;Kanada;1 godz. 28 min.;Danny Leiner
Hellboy;7;6.8;30 marzec 2004;2004;88 152;Fantasy;USA;2 godz. 2 min.;Guillermo del Toro
Dom nad jeziorem;8;7.2;16 czerwiec 2006;2006;116 087;Fantasy;Australia;1 godz. 39 min.;Alejandro Agresti
Ghost Rider;8;6.4;15 styczeÒ 2007;2007;170 766;Fantasy;Australia;1 godz. 54 min.;Mark Steven Johnson
Hugo i jego wynalazek;7;7.0;10 paüdziernik 2011;2011;71 039;Familijny;USA;2 godz. 7 min.;Martin Scorsese
Projekt Lazarus;4;5.3;26 luty 2015;2015;17 173;Horror;USA;1 godz. 23 min.;David Gelb
Pomniejszenie;8;5.3;30 sierpieÒ 2017;2017;29 563;Dramat;USA;2 godz. 15 min.;Alexander Payne
Asterix i Obelix: W s≥uøbie Jej KrÛlewskiej Moúci;3;6.1;6 paüdziernik 2012;2012;47 181;Familijny;Francja;1 godz. 50 min.;Laurent Tirard
Wiedümin;4;3.9;9 listopad 2001;2001;51 274;Fantasy;Polska;2 godz. 10 min.;Marek Brodzki
Happy Feet: Tupot ma≥ych stÛp;4;6.5;16 listopad 2006;2006;62 225;Animacja;Australia;1 godz. 49 min.;George Miller
Ostatni W≥adca Wiatru;3;5.4;30 czerwiec 2010;2010;47 924;Fantasy;USA;1 godz. 43 min.;M. Night Shyamalan
W pustyni i w puszczy;5;5.7;23 marzec 2001;2001;64 209;Familijny;Polska;1 godz. 50 min.;Gavin Hood
Fantastyczna CzwÛrka: Narodziny Srebrnego Surfera;3;6.2;12 czerwiec 2007;2007;57 559;Przygodowy;Niemcy;1 godz. 32 min.;Tim Story
Harold i Kumar uciekajπ z Guantanamo;4;7.0;24 kwiecieÒ 2008;2008;56 382;Komedia;USA;1 godz. 42 min.;Hayden Schlossberg
Asterix na olimpiadzie;4;6.3;13 styczeÒ 2008;2008;70 465;Familijny;Belgia;1 godz. 57 min.;FrÈdÈric Forestier
Wyúcig szczurÛw;6;6.6;30 lipiec 2001;2001;105 891;Komedia;Kanada;1 godz. 52 min.;Jerry Zucker
Fantastyczna CzwÛrka;6;6.2;29 czerwiec 2005;2005;76 340;Przygodowy;Niemcy;1 godz. 46 min.;Tim Story
Lemony Snicket: Seria niefortunnych zdarzeÒ;5;7.0;16 grudzieÒ 2004;2004;75 466;Familijny;Niemcy;1 godz. 45 min.;Brad Silberling
Percy Jackson i Bogowie Olimpijscy: Z≥odziej Pioruna;5;6.4;10 luty 2010;2010;91 232;Fantasy;Kanada;1 godz. 58 min.;Chris Columbus
PowrÛt do przysz≥oúci III;4;7.4;25 maj 1990;1990;151 288;Komedia;USA;1 godz. 58 min.;Robert Zemeckis
Czwarta w≥adza;9;6.6;22 grudzieÒ 2017;2017;45 952;Dramat;USA;1 godz. 55 min.;Steven Spielberg
Bracia;8;7.5;3 grudzieÒ 2009;2009;124 228;Dramat;USA;1 godz. 44 min.;Jim Sheridan
Oz: Wielki i PotÍøny;6;6.1;14 luty 2013;2013;60 143;Fantasy;USA;2 godz. 7 min.;Sam Raimi
Sex Story;7;6.4;11 styczeÒ 2011;2011;122 232;Komedia rom.;USA;1 godz. 48 min.;Ivan Reitman
Øycie nie gryzie;4;6.3;17 styczeÒ 2014;2014;19 127;Dramat;USA;1 godz. 40 min.;Lynn Shelton
Contagion - Epidemia strachu;NaN;6.2;3 wrzesieÒ 2011;2011;61 705;Dramat;USA;1 godz. 45 min.;Steven Soderbergh
Cudowny ch≥opak;5;7.8;15 listopad 2017;2017;111 678;Dramat;Chiny;1 godz. 53 min.;Stephen Chbosky
Przebudzenie dusz;6;6.1;5 paüdziernik 2017;2017;16 439;Horror;Wielka Brytania;1 godz. 38 min.;Jeremy Dyson
Gwiezdny py≥;7;7.3;9 sierpieÒ 2007;2007;143 508;Fantasy;USA;2 godz. 10 min.;Matthew Vaughn
Anatomia z≥a;7;6.2;18 wrzesieÒ 2015;2015;17 240;Thriller;Polska;1 godz. 57 min.;Jacek Bromski
Lockout;7;6.1;7 kwiecieÒ 2012;2012;29 552;Thriller;Francja;1 godz. 35 min.;James Mather
Green Hornet;7;5.5;12 styczeÒ 2011;2011;31 333;Komedia;USA;1 godz. 59 min.;Michel Gondry
Czas mroku;8;7.0;1 wrzesieÒ 2017;2017;54 477;Biograficzny;USA;2 godz. 5 min.;Joe Wright
Lady M.;5;6.3;10 wrzesieÒ 2016;2016;9 850;Dramat;Wielka Brytania;1 godz. 29 min.;William Oldroyd
Scott Pilgrim kontra úwiat;3;6.8;27 lipiec 2010;2010;46 511;Fantasy;Japonia;1 godz. 52 min.;Edgar Wright
Locke;4;6.9;2 wrzesieÒ 2013;2013;49 336;Dramat;USA;1 godz. 25 min.;Steven Knight
MiÍso;5;5.8;14 maj 2016;2016;17 859;Horror;Belgia;1 godz. 39 min.;Julia Ducournau
Kocha, lubi, szanuje;5;7.4;19 lipiec 2011;2011;211 377;Dramat;USA;1 godz. 58 min.;Glenn Ficarra
Avengers: Wojna bez granic;5;8.1;23 kwiecieÒ 2018;2018;179 985;Akcja;USA;2 godz. 29 min.;Anthony Russo
Kobieta-Kot;6;5.2;19 lipiec 2004;2004;63 739;Fantasy;Australia;1 godz. 44 min.;Pitof
Millhaven;6;7.5;24 grudzieÒ 2010;2010;17 374;Animacja;Polska;7 min.;Bartosz Kulas
Carte Blanche;6;7.3;12 styczeÒ 2015;2015;64 985;Dramat obyczajowy;Polska;1 godz. 46 min.;Jacek LusiÒski
Piπty element;8;7.4;7 maj 1997;1997;302 155;Akcja;Francja;2 godz. 6 min.;Luc Besson
WieczÛr gier;6;6.5;15 luty 2018;2018;77 044;Komedia;USA;1 godz. 40 min.;John Francis Daley
Pitbull. Ostatni pies;5;6.6;13 marzec 2018;2018;78 877;Sensacyjny;Polska;2 godz. 4 min.;W≥adys≥aw Pasikowski
Deadpool 2;9;7.6;1 maj 2018;2018;156 472;Komedia;USA;1 godz. 59 min.;David Leitch
Hannah Montana. Film;NaN;5.4;8 kwiecieÒ 2009;2009;33 132;Komedia;USA;1 godz. 42 min.;Peter Chelsom
Skarb narodÛw;NaN;7.1;8 listopad 2004;2004;221 647;Przygodowy;USA;2 godz. 11 min.;Jon Turteltaub
Skarb narodÛw: KsiÍga tajemnic;7;7.0;13 grudzieÒ 2007;2007;118 010;Przygodowy;USA;2 godz. 4 min.;Jon Turteltaub
Pogrzebany;8;6.6;23 styczeÒ 2010;2010;60 191;Thriller;Francja;1 godz. 35 min.;Rodrigo CortÈs
Green Lantern;7;5.6;14 czerwiec 2011;2011;78 777;Akcja;USA;1 godz. 54 min.;Martin Campbell
Klucz do wiecznoúci;5;6.8;10 lipiec 2015;2015;77 239;Thriller;USA;1 godz. 56 min.;Tarsem Singh
Battleship: Bitwa o ZiemiÍ;NaN;5.9;3 kwiecieÒ 2012;2012;72 509;Sci-Fi;USA;2 godz. 11 min.;Peter Berg
Kroniki Spiderwick;4;6.7;31 styczeÒ 2008;2008;25 061;Familijny;USA;1 godz. 37 min.;Mark Waters
Sinister;7;6.8;11 marzec 2012;2012;117 817;Horror;USA;1 godz. 50 min.;Scott Derrickson
Zaczarowana;8;6.4;20 paüdziernik 2007;2007;83 744;Familijny;USA;1 godz. 47 min.;Kevin Lima
Incredible Hulk;7;6.4;8 czerwiec 2008;2008;113 722;Akcja;USA;1 godz. 52 min.;Louis Leterrier
Czarna Pantera;7;6.7;29 styczeÒ 2018;2018;130 547;Akcja;Australia;2 godz. 14 min.;Ryan Coogler
